"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ConditionOccurrence","ConditionOccurrence","","","",0,*,"","","","null {[]} {[]}
","Condition Occurrence OMOP Table","This table contains records of Events of a Person suggesting the presence of a disease or medical condition stated as a diagnosis, a sign, or a symptom, which is either observed by a Provider or reported by the patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ConditionOccurrence.condition-occurrence-id","ConditionOccurrence.condition_occurrence_id","","","",1,1,"","","","integer {[]} {[]}
","Condition Occurence Identifier","The unique key given to a condition record for a person. Refer to the ETL for how duplicate conditions during the same visit were handled.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_occurrence_id",1,1,"",""
"ConditionOccurrence.person-id","ConditionOccurrence.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","The PERSON_ID of the PERSON for whom the condition is recorded.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.person_id",1,1,"",""
"ConditionOccurrence.condition-concept-id","ConditionOccurrence.condition_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Condition","The CONDITION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a condition","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_concept_id",1,1,"",""
"ConditionOccurrence.condition-start-date","ConditionOccurrence.condition_start_date","","","",1,1,"","","","date {[]} {[]}
","Condition Start Date","Use this date to determine the start date of the condition","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_start_date",1,1,"",""
"ConditionOccurrence.condition-start-datetime","ConditionOccurrence.condition_start_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Condition Start Datetime","Condition Start Datetime","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_start_datetime",0,1,"",""
"ConditionOccurrence.condition-end-date","ConditionOccurrence.condition_end_date","","","",0,1,"","","","date {[]} {[]}
","Condition End Date","Use this date to determine the end date of the condition","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_end_date",0,1,"",""
"ConditionOccurrence.condition-end-datetime","ConditionOccurrence.condition_end_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Condition End Datetime","Condition End Datetime","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_end_datetime",0,1,"",""
"ConditionOccurrence.condition-type-concept-id","ConditionOccurrence.condition_type_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Condition Type","This field can be used to determine the provenance of the Condition record, as in whether the condition was from an EHR system, insurance claim, registry, or other sources.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_type_concept_id",1,1,"",""
"ConditionOccurrence.condition-status-concept-id","ConditionOccurrence.condition_status_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Condition Status","This concept represents the point during the visit the diagnosis was given (admitting diagnosis, final diagnosis), whether the diagnosis was determined due to laboratory findings, if the diagnosis was exclusionary, or if it was a preliminary diagnosis, among others.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_status_concept_id",0,1,"",""
"ConditionOccurrence.stop-reason","ConditionOccurrence.stop_reason","","","",0,1,"","","","string {[]} {[]}
","Stop Reason","The Stop Reason indicates why a Condition is no longer valid with respect to the purpose within the source data. Note that a Stop Reason does not necessarily imply that the condition is no longer occurring.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.stop_reason",0,1,"",""
"ConditionOccurrence.provider-id","ConditionOccurrence.provider_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Provider]]}
","Provider","The provider associated with condition record, e.g. the provider who made the diagnosis or the provider who recorded the symptom.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.provider_id",0,1,"",""
"ConditionOccurrence.visit-occurrence-id","ConditionOccurrence.visit_occurrence_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitOccurrence]]}
","Visit Occurrence","The visit during which the condition occurred.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.visit_occurrence_id",0,1,"",""
"ConditionOccurrence.visit-detail-id","ConditionOccurrence.visit_detail_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitDetail]]}
","Visit Detail","The VISIT_DETAIL record during which the condition occurred. For example, if the person was in the ICU at the time of the diagnosis the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.visit_detail_id",0,1,"",""
"ConditionOccurrence.condition-source-value","ConditionOccurrence.condition_source_value","","","",0,1,"","","","string {[]} {[]}
","Condition Source Value","This field houses the verbatim value from the source data representing the condition that occurred. For example, this could be an ICD10 or Read code.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_source_value",0,1,"",""
"ConditionOccurrence.condition-source-concept-id","ConditionOccurrence.condition_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Condition Source Concept","This is the concept representing the condition source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Condition necessary for a given analytic use case. Consider using CONDITION_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_source_concept_id",0,1,"",""
"ConditionOccurrence.condition-status-source-value","ConditionOccurrence.condition_status_source_value","","","",0,1,"","","","string {[]} {[]}
","Condition Status Source Value","This field houses the verbatim value from the source data representing the condition status.","","","","","","","","","",,,,,"",,,,"ConditionOccurrence.condition_status_source_value",0,1,"",""
