"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DeviceExposure","DeviceExposure","","","",0,*,"","","","null {[]} {[]}
","Device Exposure OMOP Table","The Device domain captures information about a person's exposure to a foreign physical object or instrument which is used for diagnostic or therapeutic purposes through a mechanism beyond chemical action. Devices include implantable objects (e.g. pacemakers, stents, artificial joints), medical equipment and supplies (e.g. bandages, crutches, syringes), other instruments used in medical procedures (e.g. sutures, defibrillators) and material used in clinical care (e.g. adhesives, body material, dental material, surgical material).).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DeviceExposure.device-exposure-id","DeviceExposure.device_exposure_id","","","",1,1,"","","","integer {[]} {[]}
","Device Exposure Identifier","Device Exposure Identifier","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_exposure_id",1,1,"",""
"DeviceExposure.person-id","DeviceExposure.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","The PERSON_ID of the PERSON for whom the condition is recorded.","","","","","","","","","",,,,,"",,,,"DeviceExposure.person_id",1,1,"",""
"DeviceExposure.device-concept-id","DeviceExposure.device_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Device","The DEVICE_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source concept id which represents a foreign object or instrument the person was exposed to.","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_concept_id",1,1,"",""
"DeviceExposure.device-exposure-start-date","DeviceExposure.device_exposure_start_date","","","",1,1,"","","","date {[]} {[]}
","Device Exposure Start Date","Use this date to determine the start date of the device record.","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_exposure_start_date",1,1,"",""
"DeviceExposure.device-exposure-start-datetime","DeviceExposure.device_exposure_start_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Device Exposure Start Datetime","Device Exposure Start Datetime","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_exposure_start_datetime",0,1,"",""
"DeviceExposure.device-exposure-end-date","DeviceExposure.device_exposure_end_date","","","",0,1,"","","","date {[]} {[]}
","Device Exposure End Date","The DEVICE_EXPOSURE_END_DATE denotes the day the device exposure ended for the patient, if given.","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_exposure_end_date",0,1,"",""
"DeviceExposure.device-exposure-end-datetime","DeviceExposure.device_exposure_end_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Device Exposure End Datetime","Device Exposure End Datetime","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_exposure_end_datetime",0,1,"",""
"DeviceExposure.device-type-concept-id","DeviceExposure.device_type_concept_id","","","",1,1,"","","","integer {[]} {[]}
","Device Type Concept Identifier","You can use the TYPE_CONCEPT_ID to denote the provenance of the record, as in whether the record is from administrative claims or EHR.","","","","","","","","","",,,,,"",,,,"DeviceExposure.device_type_concept_id",1,1,"",""
"DeviceExposure.unique-device-id","DeviceExposure.unique_device_id","","","",0,1,"","","","string {[]} {[]}
","Unique Device Identifier","This is the Unique Device Identification (UDI-DI) number for devices regulated by the FDA, if given.","","","","","","","","","",,,,,"",,,,"DeviceExposure.unique_device_id",0,1,"",""
"DeviceExposure.production-id","DeviceExposure.production_id","","","",0,1,"","","","integer {[]} {[]}
","Production Identifier","This is the Production Identifier (UDI-PI) portion of the Unique Device Identification.","","","","","","","","","",,,,,"",,,,"DeviceExposure.production_id",0,1,"",""
