"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Location","Location","","","",0,*,"","","","null {[]} {[]}
","Location OMOP Table","The LOCATION table represents a generic way to capture physical location or address information of Persons and Care Sites.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Location.location-id","Location.location_id","","","",1,1,"","","","integer {[]} {[]}
","Location Identifier","The unique key given to a unique Location.","","","","","","","","","",,,,,"",,,,"Location.location_id",1,1,"",""
"Location.address-1","Location.address_1","","","",0,1,"","","","string {[]} {[]}
","Address Line 1","This is the first line of the address.","","","","","","","","","",,,,,"",,,,"Location.address_1",0,1,"",""
"Location.address-2","Location.address_2","","","",0,1,"","","","string {[]} {[]}
","Address Line 2","This is the second line of the address","","","","","","","","","",,,,,"",,,,"Location.address_2",0,1,"",""
"Location.city","Location.city","","","",0,1,"","","","string {[]} {[]}
","City","City","","","","","","","","","",,,,,"",,,,"Location.city",0,1,"",""
"Location.state","Location.state","","","",0,1,"","","","string {[]} {[]}
","State","State","","","","","","","","","",,,,,"",,,,"Location.state",0,1,"",""
"Location.zip","Location.zip","","","",0,1,"","","","string {[]} {[]}
","Zip Code","Zip Code","","","","","","","","","",,,,,"",,,,"Location.zip",0,1,"",""
"Location.county","Location.county","","","",0,1,"","","","string {[]} {[]}
","County","County","","","","","","","","","",,,,,"",,,,"Location.county",0,1,"",""
"Location.location-source-value","Location.location_source_value","","","",0,1,"","","","string {[]} {[]}
","Location Identifier Source Value","Location Identifier Source Value","","","","","","","","","",,,,,"",,,,"Location.location_source_value",0,1,"",""
"Location.country-concept-id","Location.country_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Country","The Concept Id representing the country. Values should conform to the [Geography](https://athena.ohdsi.org/search-terms/terms?domain=Geography&standardConcept=Standard&page=1&pageSize=15&query=&boosts) domain.","","","","","","","","","",,,,,"",,,,"Location.country_concept_id",0,1,"",""
"Location.country-source-value","Location.country_source_value","","","",0,1,"","","","string {[]} {[]}
","Country Source Value","The name of the country.","","","","","","","","","",,,,,"",,,,"Location.country_source_value",0,1,"",""
"Location.latitude","Location.latitude","","","",0,1,"","","","decimal {[]} {[]}
","Latitude","Latitude","","","","","","","","","",,,,,"",,,,"Location.latitude",0,1,"",""
"Location.longitude","Location.longitude","","","",0,1,"","","","decimal {[]} {[]}
","Longitude","Longitude","","","","","","","","","",,,,,"",,,,"Location.longitude",0,1,"",""
