"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Observation","Observation","","","",0,*,"","","","null {[]} {[]}
","Observation OMOP Table","The OBSERVATION table captures clinical facts about a Person obtained in the context of examination, questioning or a procedure. Any data that cannot be represented by any other domains, such as social and lifestyle facts, medical history, family history, etc. are recorded here.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Observation.observation-id","Observation.observation_id","","","",1,1,"","","","integer {[]} {[]}
","Observation Identifier","Observation Identifier","","","","","","","","","",,,,,"",,,,"Observation.observation_id",1,1,"",""
"Observation.person-id","Observation.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","The PERSON_ID of the Person for whom the Observation is recorded. This may be a system generated code.","","","","","","","","","",,,,,"",,,,"Observation.person_id",1,1,"",""
"Observation.observation-concept-id","Observation.observation_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Observation","The OBSERVATION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies.","","","","","","","","","",,,,,"",,,,"Observation.observation_concept_id",1,1,"",""
"Observation.observation-date","Observation.observation_date","","","",1,1,"","","","date {[]} {[]}
","Observation Date","The date of the Observation. Depending on what the Observation represents this could be the date of a lab test, the date of a survey, or the date a patient's family history was taken.","","","","","","","","","",,,,,"",,,,"Observation.observation_date",1,1,"",""
"Observation.observation-datetime","Observation.observation_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Observation Datetime","Observation Datetime","","","","","","","","","",,,,,"",,,,"Observation.observation_datetime",0,1,"",""
"Observation.observation-type-concept-id","Observation.observation_type_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Observation Type","This field can be used to determine the provenance of the Observation record, as in whether the measurement was from an EHR system, insurance claim, registry, or other sources.","","","","","","","","","",,,,,"",,,,"Observation.observation_type_concept_id",1,1,"",""
"Observation.value-as-number","Observation.value_as_number","","","",0,1,"","","","integer {[]} {[]}
","Value as Number","This is the numerical value of the Result of the Observation, if applicable and available. It is not expected that all Observations will have numeric results, rather, this field is here to house values should they exist.","","","","","","","","","",,,,,"",,,,"Observation.value_as_number",0,1,"",""
"Observation.value-as-string","Observation.value_as_string","","","",0,1,"","","","string {[]} {[]}
","Value as String","This is the categorical value of the Result of the Observation, if applicable and available.","","","","","","","","","",,,,,"",,,,"Observation.value_as_string",0,1,"",""
"Observation.value-as-concept-id","Observation.value_as_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Value as Concept","It is possible that some records destined for the Observation table have two clinical ideas represented in one source code. This is common with ICD10 codes that describe a family history of some Condition, for example. In OMOP the Vocabulary breaks these two clinical ideas into two codes; one becomes the OBSERVATION_CONCEPT_ID and the other becomes the VALUE_AS_CONCEPT_ID. It is important when using the Observation table to keep this possibility in mind and to examine the VALUE_AS_CONCEPT_ID field for relevant information.","","","","","","","","","",,,,,"",,,,"Observation.value_as_concept_id",0,1,"",""
"Observation.qualifier-concept-id","Observation.qualifier_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Qualifier","This field contains all attributes specifying the clinical fact further, such as as degrees, severities, drug-drug interaction alerts etc.","","","","","","","","","",,,,,"",,,,"Observation.qualifier_concept_id",0,1,"",""
