"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Provider","Provider","","","",0,*,"","","","null {[]} {[]}
","Provider OMOP Table","The PROVIDER table contains a list of uniquely identified healthcare providers. These are individuals providing hands-on healthcare to patients, such as physicians, nurses, midwives, physical therapists etc.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Provider.provider-id","Provider.provider_id","","","",1,1,"","","","integer {[]} {[]}
","Provider Identifier","It is assumed that every provider with a different unique identifier is in fact a different person and should be treated independently.","","","","","","","","","",,,,,"",,,,"Provider.provider_id",1,1,"",""
"Provider.provider-name","Provider.provider_name","","","",0,1,"","","","string {[]} {[]}
","Provider Name","Provider Name","","","","","","","","","",,,,,"",,,,"Provider.provider_name",0,1,"",""
"Provider.npi","Provider.npi","","","",0,1,"","","","string {[]} {[]}
","National Provider Identifier","This is the National Provider Number issued to health care providers in the US by the Centers for Medicare and Medicaid Services (CMS).","","","","","","","","","",,,,,"",,,,"Provider.npi",0,1,"",""
"Provider.dea","Provider.dea","","","",0,1,"","","","string {[]} {[]}
","Drug Enforcement Administration Identifer","This is the identifier issued by the DEA, a US federal agency, that allows a provider to write prescriptions for controlled substances.","","","","","","","","","",,,,,"",,,,"Provider.dea",0,1,"",""
"Provider.specialty-concept-id","Provider.specialty_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Specialty","This field either represents the most common specialty that occurs in the data or the most specific concept that represents all specialties listed, should the provider have more than one. This includes physician specialties such as internal medicine, emergency medicine, etc. and allied health professionals such as nurses, midwives, and pharmacists.","","","","","","","","","",,,,,"",,,,"Provider.specialty_concept_id",0,1,"",""
"Provider.care-site-id","Provider.care_site_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/CareSite]]}
","Care Site","This is the location that the provider primarily practices in.","","","","","","","","","",,,,,"",,,,"Provider.care_site_id",0,1,"",""
"Provider.year-of-birth","Provider.year_of_birth","","","",0,1,"","","","integer {[]} {[]}
","Year of Birth","Year of Birth","","","","","","","","","",,,,,"",,,,"Provider.year_of_birth",0,1,"",""
"Provider.gender-concept-id","Provider.gender_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Gender","This field represents the recorded gender of the provider in the source data.","","","","","","","","","",,,,,"",,,,"Provider.gender_concept_id",0,1,"",""
"Provider.provider-source-value","Provider.provider_source_value","","","",0,1,"","","","string {[]} {[]}
","Provider Identifier Source Value","Use this field to link back to providers in the source data. This is typically used for error checking of ETL logic.","","","","","","","","","",,,,,"",,,,"Provider.provider_source_value",0,1,"",""
"Provider.specialty-source-value","Provider.specialty_source_value","","","",0,1,"","","","string {[]} {[]}
","Specialty Source Value","This is the kind of provider or specialty as it appears in the source data. This includes physician specialties such as internal medicine, emergency medicine, etc. and allied health professionals such as nurses, midwives, and pharmacists.","","","","","","","","","",,,,,"",,,,"Provider.specialty_source_value",0,1,"",""
"Provider.specialty-source-concept-id","Provider.specialty_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Specialty Source Concept","This is often zero as many sites use proprietary codes to store physician speciality.","","","","","","","","","",,,,,"",,,,"Provider.specialty_source_concept_id",0,1,"",""
"Provider.gender-source-value","Provider.gender_source_value","","","",0,1,"","","","string {[]} {[]}
","Gender Source Value","This is provider's gender as it appears in the source data.","","","","","","","","","",,,,,"",,,,"Provider.gender_source_value",0,1,"",""
"Provider.gender-source-concept-id","Provider.gender_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Gender Source Concept","This is often zero as many sites use proprietary codes to store provider gender.","","","","","","","","","",,,,,"",,,,"Provider.gender_source_concept_id",0,1,"",""
