"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Specimen","Specimen","","","",0,*,"","","","null {[]} {[]}
","Specimen OMOP Table","The specimen domain contains the records identifying biological samples from a person.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Specimen.specimen-id","Specimen.specimen_id","","","",1,1,"","","","integer {[]} {[]}
","Specimen Identifier","Specimen Identifier","","","","","","","","","",,,,,"",,,,"Specimen.specimen_id",1,1,"",""
"Specimen.person-id","Specimen.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","The person from whom the specimen is collected.","","","","","","","","","",,,,,"",,,,"Specimen.person_id",1,1,"",""
"Specimen.specimen-concept-id","Specimen.specimen_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Specimen","Specimen","","","","","","","","","",,,,,"",,,,"Specimen.specimen_concept_id",1,1,"",""
"Specimen.specimen-type-concept-id","Specimen.specimen_type_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Specimen Type","Specimen Type","","","","","","","","","",,,,,"",,,,"Specimen.specimen_type_concept_id",1,1,"",""
"Specimen.specimen-date","Specimen.specimen_date","","","",1,1,"","","","date {[]} {[]}
","Specimen Date","The date the specimen was collected.","","","","","","","","","",,,,,"",,,,"Specimen.specimen_date",1,1,"",""
"Specimen.specimen-datetime","Specimen.specimen_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Specimen Datetime","Specimen Datetime","","","","","","","","","",,,,,"",,,,"Specimen.specimen_datetime",0,1,"",""
"Specimen.quantity","Specimen.quantity","","","",0,1,"","","","integer {[]} {[]}
","Quantity","The amount of specimen collected from the person.","","","","","","","","","",,,,,"",,,,"Specimen.quantity",0,1,"",""
"Specimen.unit-concept-id","Specimen.unit_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Unit","The unit for the quantity of the specimen.","","","","","","","","","",,,,,"",,,,"Specimen.unit_concept_id",0,1,"",""
"Specimen.anatomic-site-concept-id","Specimen.anatomic_site_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Anatomic Site","This is the site on the body where the specimen is from.","","","","","","","","","",,,,,"",,,,"Specimen.anatomic_site_concept_id",0,1,"",""
"Specimen.disease-status-concept-id","Specimen.disease_status_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Disease Status","Disease Status","","","","","","","","","",,,,,"",,,,"Specimen.disease_status_concept_id",0,1,"",""
"Specimen.specimen-source-id","Specimen.specimen_source_id","","","",0,1,"","","","string {[]} {[]}
","Specimen Source","This is the identifier for the specimen from the source system.","","","","","","","","","",,,,,"",,,,"Specimen.specimen_source_id",0,1,"",""
"Specimen.specimen-source-value","Specimen.specimen_source_value","","","",0,1,"","","","string {[]} {[]}
","Specimen Source Value","Specimen Source Value","","","","","","","","","",,,,,"",,,,"Specimen.specimen_source_value",0,1,"",""
"Specimen.unit-source-value","Specimen.unit_source_value","","","",0,1,"","","","string {[]} {[]}
","Unit Source Value","Unit Source Value","","","","","","","","","",,,,,"",,,,"Specimen.unit_source_value",0,1,"",""
"Specimen.anatomic-site-source-value","Specimen.anatomic_site_source_value","","","",0,1,"","","","string {[]} {[]}
","Anatomic Site Source Value","Anatomic Site Source Value","","","","","","","","","",,,,,"",,,,"Specimen.anatomic_site_source_value",0,1,"",""
"Specimen.disease-status-source-value","Specimen.disease_status_source_value","","","",0,1,"","","","string {[]} {[]}
","Disease Site Source Value","Disease Site Source Value","","","","","","","","","",,,,,"",,,,"Specimen.disease_status_source_value",0,1,"",""
