"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VisitDetail","VisitDetail","","","",0,*,"","","","null {[]} {[]}
","Visit Detail OMOP Table","The VISIT_DETAIL table is an optional table used to represents details of each record in the parent VISIT_OCCURRENCE table. A good example of this would be the movement between units in a hospital during an inpatient stay or claim lines associated with a one insurance claim. For every record in the VISIT_OCCURRENCE table there may be 0 or more records in the VISIT_DETAIL table with a 1:n relationship where n may be 0. The VISIT_DETAIL table is structurally very similar to VISIT_OCCURRENCE table and belongs to the visit domain.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VisitDetail.visit-detail-id","VisitDetail.visit_detail_id","","","",1,1,"","","","integer {[]} {[]}
","Visit Detail Identifier","Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit detail.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_id",1,1,"",""
"VisitDetail.person-id","VisitDetail.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","Person","","","","","","","","","",,,,,"",,,,"VisitDetail.person_id",1,1,"",""
"VisitDetail.visit-detail-concept-id","VisitDetail.visit_detail_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit Detail","This field contains a concept id representing the kind of visit detail, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_concept_id",1,1,"",""
"VisitDetail.visit-detail-start-date","VisitDetail.visit_detail_start_date","","","",1,1,"","","","date {[]} {[]}
","Visit Detail Start Date","This is the date of the start of the encounter. This may or may not be equal to the date of the Visit the Visit Detail is associated with.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_start_date",1,1,"",""
"VisitDetail.visit-detail-start-datetime","VisitDetail.visit_detail_start_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Visit Detail Start Datetime","Visit Detail Start Datetime","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_start_datetime",0,1,"",""
"VisitDetail.visit-detail-end-date","VisitDetail.visit_detail_end_date","","","",1,1,"","","","date {[]} {[]}
","Visit Detail End Date","This the end date of the patient-provider interaction.  If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_end_date",1,1,"",""
"VisitDetail.visit-detail-end-datetime","VisitDetail.visit_detail_end_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Visit Detail End Datetime","If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_datetime, then set the visit_end_datetime to the datetime of the data pull.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_end_datetime",0,1,"",""
"VisitDetail.visit-detail-type-concept-id","VisitDetail.visit_detail_type_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit Detail Type","Use this field to understand the provenance of the visit detail record, or where the record comes from.","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_type_concept_id",1,1,"",""
"VisitDetail.provider-id","VisitDetail.provider_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Provider]]}
","Provider","There will only be one provider per  **visit** record and the ETL document should clearly state how they were chosen (attending, admitting, etc.). This is a typical reason for leveraging the VISIT_DETAIL table as even though each VISIT_DETAIL record can only have one provider, there is no limit to the number of VISIT_DETAIL records that can be associated to a VISIT_OCCURRENCE record.","","","","","","","","","",,,,,"",,,,"VisitDetail.provider_id",0,1,"",""
"VisitDetail.care-site-id","VisitDetail.care_site_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/CareSite]]}
","Care Site","This field provides information about the Care Site where the Visit Detail took place.","","","","","","","","","",,,,,"",,,,"VisitDetail.care_site_id",0,1,"",""
"VisitDetail.visit-detail-source-value","VisitDetail.visit_detail_source_value","","","",0,1,"","","","string {[]} {[]}
","Visit Detail Source Value","This field houses the verbatim value from the source data representing the kind of visit detail that took place (inpatient, outpatient, emergency, etc.)","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_source_value",0,1,"",""
"VisitDetail.visit-detail-source-concept-id","VisitDetail.visit_detail_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit Detail Source Concept","Visit Detail Source Concept","","","","","","","","","",,,,,"",,,,"VisitDetail.visit_detail_source_concept_id",0,1,"",""
"VisitDetail.admitted-from-concept-id","VisitDetail.admitted_from_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Admitted From","Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.","","","","","","","","","",,,,,"",,,,"VisitDetail.admitted_from_concept_id",0,1,"",""
"VisitDetail.admitted-from-source-value","VisitDetail.admitted_from_source_value","","","",0,1,"","","","string {[]} {[]}
","Admitted From Source Value","Admitted From Source Value","","","","","","","","","",,,,,"",,,,"VisitDetail.admitted_from_source_value",0,1,"",""
"VisitDetail.discharged-to-source-value","VisitDetail.discharged_to_source_value","","","",0,1,"","","","string {[]} {[]}
","Discharged To Source Value","Discharged To Source Value","","","","","","","","","",,,,,"",,,,"VisitDetail.discharged_to_source_value",0,1,"",""
"VisitDetail.discharged-to-concept-id","VisitDetail.discharged_to_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Discharged To","Use this field to determine where the patient was discharged to after a visit. This concept is part of the visit domain and can indicate if a patient was transferred to another hospital or sent to a long-term care facility, for example.  It is assumed that a person is discharged to home therefore there is not a standard concept id for ""home"".  Use concept id = 0 when a person is discharged to home.","","","","","","","","","",,,,,"",,,,"VisitDetail.discharged_to_concept_id",0,1,"",""
"VisitDetail.preceding-visit-detail-id","VisitDetail.preceding_visit_detail_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitDetail]]}
","Preceding Visit","Use this field to find the visit detail that occurred for the person prior to the given visit detail record. There could be a few days or a few years in between.","","","","","","","","","",,,,,"",,,,"VisitDetail.preceding_visit_detail_id",0,1,"",""
"VisitDetail.parent-visit-detail-id","VisitDetail.parent_visit_detail_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitDetail]]}
","Parent Visit","Use this field to find the visit detail that subsumes the given visit detail record. This is used in the case that a visit detail record needs to be nested beyond the VISIT_OCCURRENCE/VISIT_DETAIL relationship.","","","","","","","","","",,,,,"",,,,"VisitDetail.parent_visit_detail_id",0,1,"",""
