"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VisitOccurrence","VisitOccurrence","","","",0,*,"","","","null {[]} {[]}
","Visit Occurrence OMOP Table","This table contains Events where Persons engage with the healthcare system for a duration of time. They are often also called ""Encounters"". Visits are defined by a configuration of circumstances under which they occur, such as (i) whether the patient comes to a healthcare institution, the other way around, or the interaction is remote, (ii) whether and what kind of trained medical staff is delivering the service during the Visit, and (iii) whether the Visit is transient or for a longer period involving a stay in bed.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VisitOccurrence.visit-occurrence-id","VisitOccurrence.visit_occurrence_id","","","",1,1,"","","","integer {[]} {[]}
","Visit Occurrence Identifier","Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_occurrence_id",1,1,"",""
"VisitOccurrence.person-id","VisitOccurrence.person_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Person]]}
","Person","Person","","","","","","","","","",,,,,"",,,,"VisitOccurrence.person_id",1,1,"",""
"VisitOccurrence.visit-concept-id","VisitOccurrence.visit_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit","This field contains a concept id representing the kind of visit, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_concept_id",1,1,"",""
"VisitOccurrence.visit-start-date","VisitOccurrence.visit_start_date","","","",1,1,"","","","date {[]} {[]}
","Start Date","For inpatient visits, the start date is typically the admission date. For outpatient visits the start date and end date will be the same.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_start_date",1,1,"",""
"VisitOccurrence.visit-start-datetime","VisitOccurrence.visit_start_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","Start Datetime","Start Datetime","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_start_datetime",0,1,"",""
"VisitOccurrence.visit-end-date","VisitOccurrence.visit_end_date","","","",1,1,"","","","date {[]} {[]}
","End Date","For inpatient visits the end date is typically the discharge date.  If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_end_date",1,1,"",""
"VisitOccurrence.visit-end-datetime","VisitOccurrence.visit_end_datetime","","","",0,1,"","","","dateTime {[]} {[]}
","End Datetime","End Datetime","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_end_datetime",0,1,"",""
"VisitOccurrence.visit-type-concept-id","VisitOccurrence.visit_type_concept_id","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit Type","Use this field to understand the provenance of the visit record, or where the record comes from.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_type_concept_id",1,1,"",""
"VisitOccurrence.provider-id","VisitOccurrence.provider_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Provider]]}
","Provider","There will only be one provider per visit record and the ETL document should clearly state how they were chosen (attending, admitting, etc.). If there are multiple providers associated with a visit in the source, this can be reflected in the event tables (CONDITION_OCCURRENCE, PROCEDURE_OCCURRENCE, etc.) or in the VISIT_DETAIL table.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.provider_id",0,1,"",""
"VisitOccurrence.care-site-id","VisitOccurrence.care_site_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/CareSite]]}
","Care Site","This field provides information about the Care Site where the Visit took place.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.care_site_id",0,1,"",""
"VisitOccurrence.visit-source-value","VisitOccurrence.visit_source_value","","","",0,1,"","","","string {[]} {[]}
","Visit Source Value","This field houses the verbatim value from the source data representing the kind of visit that took place (inpatient, outpatient, emergency, etc.)","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_source_value",0,1,"",""
"VisitOccurrence.visit-source-concept-id","VisitOccurrence.visit_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Visit Source Concept","Visit Source Concept","","","","","","","","","",,,,,"",,,,"VisitOccurrence.visit_source_concept_id",0,1,"",""
"VisitOccurrence.admitted-from-concept-id","VisitOccurrence.admitted_from_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Admitted From Concept","Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.","","","","","","","","","",,,,,"",,,,"VisitOccurrence.admitted_from_concept_id",0,1,"",""
"VisitOccurrence.admitted-from-source-value","VisitOccurrence.admitted_from_source_value","","","",0,1,"","","","string {[]} {[]}
","Admitted From Source Value","Admitted From Source Value","","","","","","","","","",,,,,"",,,,"VisitOccurrence.admitted_from_source_value",0,1,"",""
